img_id;marker_type;intensity;folder_name;pose;rvec;tvec;n_valid;corners;ids;rvec_est;tvec_est
1p_2;210.0;160.0;0.0;250.0;1.4615151460729763,-1.4615151460729763,-1.023363922487963;-6.134999999999991,72.62,40.74;0;;;;
1p_2;160.0;160.0;0.0;110.0;-1.4615151460729765,1.4615151460729767,-1.0233639224879634;-6.134999999999991,22.620000000000005,40.74;1;1638.9847,1841.5262,1638.2461,1632.5509,1723.2544,1554.575,1718.8538,1742.8651;5.0;;
1p_2;160.0;160.0;0.0;120.0;-1.5835145342643513,1.5835145342643513,-0.914242542623208;-6.134999999999991,22.620000000000005,40.74;1;1611.1704,1843.461,1608.7184,1628.0848,1733.251,1560.3456,1728.9371,1750.4384;5.0;;
1p_2;160.0;160.0;0.0;130.0;-1.7021241391777393,1.7021241391777393,-0.7937135212290645;-6.134999999999991,22.620000000000005,40.74;1;1584.3873,1842.3136,1578.2511,1627.4851,1740.942,1566.5066,1736.8578,1758.4529;5.0;;
1p_2;160.0;160.0;0.0;140.0;-1.8167914428100647,1.8167914428100647,-0.6612580070524112;-6.134999999999991,22.620000000000005,40.74;1;1559.0851,1837.9894,1549.4341,1625.8848,1745.243,1573.3083,1741.118,1767.5723;5.0;;
1p_2;160.0;160.0;0.0;150.0;-1.926874507676449,1.9268745076764493,-0.5163044682480216;-6.134999999999991,22.620000000000005,40.74;1;1536.1514,1831.4363,1523.8785,1620.2294,1745.3992,1579.7761,1741.5155,1777.5944;5.0;;
1p_2;160.0;160.0;0.0;160.0;-2.0316234541167613,2.0316234541167613,-0.35823002960091005;-6.134999999999991,22.620000000000005,40.74;1;1516.3804,1822.8289,1502.4347,1614.2517,1741.5168,1588.2903,1738.0566,1788.0793;5.0;;
1p_2;160.0;160.0;0.0;170.0;-2.1301581545216086,2.1301581545216086,-0.18636469003794207;-6.134999999999991,22.620000000000005,40.74;1;1500.833,1812.6929,1485.5381,1606.7123,1733.5807,1595.4762,1731.5458,1798.2988;5.0;;
1p_2;160.0;160.0;0.0;180.0;2.221441469079183,-2.221441469079183,0.0;-6.134999999999991,22.620000000000005,40.74;1;1489.7273,1801.6794,1473.4548,1598.5883,1721.2625,1602.9974,1720.1141,1808.0468;5.0;;
1p_2;160.0;160.0;0.0;190.0;2.1301581545216086,-2.1301581545216086,-0.18636469003794462;-6.134999999999991,22.620000000000005,40.74;1;1483.4094,1790.5596,1466.6605,1590.6991,1704.3928,1609.1547,1705.1625,1816.7456;5.0;;
1p_2;160.0;160.0;0.0;200.0;2.0316234541167617,-2.0316234541167617,-0.358230029600911;-6.134999999999991,22.620000000000005,40.74;1;1481.102,1778.8555,1464.5432,1581.4972,1683.85,1615.1476,1687.3356,1824.2657;5.0;;
1p_2;160.0;160.0;0.0;210.0;1.9268745076764489,-1.9268745076764489,-0.5163044682480217;-6.134999999999991,22.620000000000005,40.74;1;1483.2821,1767.732,1467.124,1574.0898,1659.971,1619.1998,1666.3698,1830.0126;5.0;;
1p_2;160.0;160.0;0.0;220.0;1.8167914428100655,-1.8167914428100655,-0.6612580070524107;-6.134999999999991,22.620000000000005,40.74;1;1489.2028,1757.57,1473.9592,1566.7476,1634.2152,1621.3333,1643.4529,1833.6298;5.0;;
1p_2;160.0;160.0;0.0;230.0;1.702124139177739,-1.702124139177739,-0.7937135212290641;-6.134999999999991,22.620000000000005,40.74;1;1498.7722,1748.6453,1484.3435,1559.1567,1610.0,1620.0,1619.6589,1834.7094;5.0;;
1p_2;160.0;160.0;0.0;240.0;1.5835145342643517,-1.5835145342643517,-0.9142425426232077;-6.134999999999991,22.620000000000005,40.74;1;1511.3134,1740.2661,1498.1678,1552.7584,1582.6882,1624.1787,1595.7999,1833.5082;5.0;;
1p_2;160.0;160.0;0.0;250.0;1.4615151460729763,-1.4615151460729763,-1.023363922487963;-6.134999999999991,22.620000000000005,40.74;1;1526.276,1732.8784,1514.2684,1546.8038,1557.7485,1620.4597,1574.4248,1830.803;5.0;;
1p_2;110.0;160.0;0.0;110.0;-1.4615151460729765,1.4615151460729767,-1.0233639224879634;-6.134999999999991,-27.379999999999995,40.74;1;1639.4575,773.12225,1638.872,585.4098,1714.5345,682.9506,1718.4862,853.80475;5.0;;
1p_2;110.0;160.0;0.0;120.0;-1.5835145342643513,1.5835145342643513,-0.914242542623208;-6.134999999999991,-27.379999999999995,40.74;1;1610.6211,771.866,1612.5005,583.0816,1724.3549,675.1823,1729.0109,847.59357;5.0;;
1p_2;110.0;160.0;0.0;130.0;-1.7021241391777393,1.7021241391777393,-0.7937135212290645;-6.134999999999991,-27.379999999999995,40.74;1;1581.9633,772.9775,1586.4508,584.3238,1730.6945,665.46655,1737.1803,839.88043;5.0;;
1p_2;110.0;160.0;0.0;140.0;-1.8167914428100647,1.8167914428100647,-0.6612580070524112;-6.134999999999991,-27.379999999999995,40.74;1;1555.5682,777.5489,1561.6888,588.3983,1733.8562,655.5462,1741.5176,832.28345;5.0;;
1p_2;110.0;160.0;0.0;150.0;-1.926874507676449,1.9268745076764493,-0.5163044682480216;-6.134999999999991,-27.379999999999995,40.74;1;1531.614,783.0873,1539.299,595.5491,1733.7412,645.263,1742.4237,823.4784;5.0;;
1p_2;110.0;160.0;0.0;160.0;-2.0316234541167613,2.0316234541167613,-0.35823002960091005;-6.134999999999991,-27.379999999999995,40.74;1;1511.3528,791.0662,1519.682,604.57275,1729.7758,634.2626,1738.7188,814.7869;5.0;;
